"date_time","uni_meteo"
2022-12-07 10:00:00,1.66975
2022-12-07 11:00:00,2.944679
2022-12-07 12:00:00,4.682969
2022-12-07 13:00:00,7.281622
2022-12-07 14:00:00,7.525032
2022-12-07 15:00:00,6.267508
2022-12-07 16:00:00,5.676166
2022-12-07 17:00:00,5.064336
2022-12-07 18:00:00,3.89553
2022-12-07 19:00:00,2.526828
2022-12-07 20:00:00,2.022923
2022-12-07 21:00:00,1.207197
2022-12-07 22:00:00,0.6056041
2022-12-07 23:00:00,0.2343097
2022-12-08 00:00:00,0.9477944
2022-12-08 01:00:00,1.084751
2022-12-08 02:00:00,0.6866847
2022-12-08 03:00:00,0.1693458
2022-12-08 04:00:00,-0.3764875
2022-12-08 05:00:00,-0.505843
2022-12-08 06:00:00,-0.6355472
2022-12-08 07:00:00,-1.096706
2022-12-08 08:00:00,-0.9935597
2022-12-08 09:00:00,-1.087806
2022-12-08 10:00:00,-0.390093
2022-12-08 11:00:00,0.7803361
2022-12-08 12:00:00,0.870743
2022-12-08 13:00:00,0.8423916
2022-12-08 14:00:00,1.957529
2022-12-08 15:00:00,2.58214
2022-12-08 16:00:00,2.616712
2022-12-08 17:00:00,1.940424
2022-12-08 18:00:00,0.8628514
2022-12-08 19:00:00,0.2747903
2022-12-08 20:00:00,-0.1517597
2022-12-08 21:00:00,-0.4625541
2022-12-08 22:00:00,-0.8768652
2022-12-08 23:00:00,-1.014303
2022-12-09 00:00:00,-0.7599846
2022-12-09 01:00:00,-0.9633805
2022-12-09 02:00:00,-1.570937
2022-12-09 03:00:00,-1.775949
2022-12-09 04:00:00,-1.751751
2022-12-09 05:00:00,-1.878639
2022-12-09 06:00:00,-1.920279
2022-12-09 07:00:00,-1.995608
2022-12-09 08:00:00,-1.812693
2022-12-09 09:00:00,-1.562987
2022-12-09 10:00:00,-1.156326
2022-12-09 11:00:00,-0.919361
2022-12-09 12:00:00,-0.4948333
2022-12-09 13:00:00,-0.0860111
2022-12-09 14:00:00,0.0066875
2022-12-09 15:00:00,0.3424208
2022-12-09 16:00:00,0.4457333
2022-12-09 17:00:00,0.1867458
2022-12-09 18:00:00,0.0141
2022-12-09 19:00:00,-0.006377777
2022-12-09 20:00:00,0.1673653
2022-12-09 21:00:00,0.3188722
2022-12-09 22:00:00,0.4910292
2022-12-09 23:00:00,0.5762597
2022-12-10 00:00:00,0.640943
2022-12-10 01:00:00,0.5589041
2022-12-10 02:00:00,0.6768722
2022-12-10 03:00:00,0.7033653
2022-12-10 04:00:00,0.7988694
2022-12-10 05:00:00,0.7813499
2022-12-10 06:00:00,0.6804764
2022-12-10 07:00:00,0.6744638
2022-12-10 08:00:00,0.4925291
2022-12-10 09:00:00,0.4611083
2022-12-10 10:00:00,0.4783944
2022-12-10 11:00:00,0.5106167
2022-12-10 12:00:00,0.5042347
2022-12-10 13:00:00,0.4747486
2022-12-10 14:00:00,0.3865
2022-12-10 15:00:00,0.3565861
2022-12-10 16:00:00,0.3032014
2022-12-10 17:00:00,0.2207417
2022-12-10 18:00:00,0.1865653
2022-12-10 19:00:00,0.2045167
2022-12-10 20:00:00,0.1022556
2022-12-10 21:00:00,-0.01227917
2022-12-10 22:00:00,-0.6256042
2022-12-10 23:00:00,-0.860261
2022-12-11 00:00:00,-1.442522
2022-12-11 01:00:00,-1.817744
2022-12-11 02:00:00,-2.014372
2022-12-11 03:00:00,-1.8405
2022-12-11 04:00:00,-1.824236
2022-12-11 05:00:00,-1.760092
2022-12-11 06:00:00,-1.751418
2022-12-11 07:00:00,-1.973211
2022-12-11 08:00:00,-2.640575
2022-12-11 09:00:00,-3.486011
